Intermediate,Pair,Parent_1,Parent_2
CC(C)(C)c1ccc2c(c1)[C@H]1O[C@@H](C[NH2+]CCO)CC[C@H]1[C@H](c1ccc(O)cc1)N2,73,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,OCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Cl)=CC(F)=C1N[C@H]2C1=CC=CC=C1
OCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(Cl)ccc1N[C@H]2c1ccc(O)cc1,73,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,OCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Cl)=CC(F)=C1N[C@H]2C1=CC=CC=C1
CC(C)(C)c1cc(F)c2c(c1)[C@H]1O[C@@H](C[NH2+]CCO)CC[C@H]1[C@H](c1ccc(O)cc1)N2,73,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,OCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Cl)=CC(F)=C1N[C@H]2C1=CC=CC=C1
OCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(Cl)cc(F)c1N[C@H]2c1ccc(O)cc1,73,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,OCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Cl)=CC(F)=C1N[C@H]2C1=CC=CC=C1
CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccccc1)N2,73,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,OCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Cl)=CC(F)=C1N[C@H]2C1=CC=CC=C1
Clc1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccccc1)N2,73,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,OCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Cl)=CC(F)=C1N[C@H]2C1=CC=CC=C1
CC(C)(C)c1cc(F)c2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccccc1)N2,73,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,OCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Cl)=CC(F)=C1N[C@H]2C1=CC=CC=C1
Fc1cc(Cl)cc2c1N[C@@H](c1ccccc1)[C@@H]1CCCO[C@H]21,73,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,OCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Cl)=CC(F)=C1N[C@H]2C1=CC=CC=C1
CC(C)(C)c1ccc2c(c1)[C@H]1O[C@@H](C[NH2+]CCO)CC[C@H]1[C@H](c1ccccc1)N2,73,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,OCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Cl)=CC(F)=C1N[C@H]2C1=CC=CC=C1
OCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(Cl)ccc1N[C@H]2c1ccccc1,73,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,OCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Cl)=CC(F)=C1N[C@H]2C1=CC=CC=C1
CC(C)(C)c1cc(F)c2c(c1)[C@H]1O[C@@H](C[NH2+]CCO)CC[C@H]1[C@H](c1ccccc1)N2,73,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,OCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Cl)=CC(F)=C1N[C@H]2C1=CC=CC=C1
Oc1ccc([C@@H]2Nc3ccc(C(F)(F)F)cc3[C@H]3OCCC[C@H]32)cc1,75,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,C[NH+](C)CCNC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1
C[NH+](C)CCNC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(C)(C)C)ccc1N[C@H]2c1ccc(O)cc1,75,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,C[NH+](C)CCNC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1
C[NH+](C)CCNC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccc(O)cc1,75,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,C[NH+](C)CCNC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1
CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccccc1)N2,75,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,C[NH+](C)CCNC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1
FC(F)(F)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccccc1)N2,75,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,C[NH+](C)CCNC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1
C[NH+](C)CCNC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(C)(C)C)ccc1N[C@H]2c1ccccc1,75,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,C[NH+](C)CCNC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1
CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccccc1)N2,76,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,CC1=CC=C2N[C@@H](C3=CC=CC=C3)[C@@H]3CCCO[C@@H]3C2=C1
Cc1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccc(O)cc1)N2,76,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,CC1=CC=C2N[C@@H](C3=CC=CC=C3)[C@@H]3CCCO[C@@H]3C2=C1
Oc1ccc([C@@H]2Nc3ccc(C(F)(F)F)cc3[C@H]3OCCC[C@H]32)cc1,77,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,CN(C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1)S(=O)(=O)CCC[NH3+]
CN(C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(C)(C)C)ccc1N[C@H]2c1ccc(O)cc1)S(=O)(=O)CCC[NH3+],77,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,CN(C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1)S(=O)(=O)CCC[NH3+]
CN(C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccc(O)cc1)S(=O)(=O)CCC[NH3+],77,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,CN(C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1)S(=O)(=O)CCC[NH3+]
CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccccc1)N2,77,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,CN(C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1)S(=O)(=O)CCC[NH3+]
FC(F)(F)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccccc1)N2,77,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,CN(C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1)S(=O)(=O)CCC[NH3+]
CN(C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(C)(C)C)ccc1N[C@H]2c1ccccc1)S(=O)(=O)CCC[NH3+],77,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,CN(C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1)S(=O)(=O)CCC[NH3+]
Oc1ccc([C@@H]2Nc3ccc(C(F)(F)F)cc3[C@H]3OCCC[C@H]32)cc1,78,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,C[NH+](C)CCOC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1
C[NH+](C)CCOC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(C)(C)C)ccc1N[C@H]2c1ccc(O)cc1,78,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,C[NH+](C)CCOC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1
C[NH+](C)CCOC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccc(O)cc1,78,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,C[NH+](C)CCOC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1
CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccccc1)N2,78,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,C[NH+](C)CCOC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1
FC(F)(F)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccccc1)N2,78,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,C[NH+](C)CCOC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1
C[NH+](C)CCOC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(C)(C)C)ccc1N[C@H]2c1ccccc1,78,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,C[NH+](C)CCOC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1
Oc1ccc([C@@H]2Nc3ccc(Br)cc3[C@H]3OCCC[C@H]32)cc1,79,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
CC(C)(C)c1cc(F)c2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccc(O)cc1)N2,79,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
Oc1ccc([C@@H]2Nc3c(F)cc(Br)cc3[C@H]3OCCC[C@H]32)cc1,79,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(C)(C)C)ccc1N[C@H]2c1ccc(O)cc1,79,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(Br)ccc1N[C@H]2c1ccc(O)cc1,79,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(C)(C)C)cc(F)c1N[C@H]2c1ccc(O)cc1,79,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(Br)cc(F)c1N[C@H]2c1ccc(O)cc1,79,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccccc1)N2,79,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
Brc1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccccc1)N2,79,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
CC(C)(C)c1cc(F)c2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccccc1)N2,79,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
Fc1cc(Br)cc2c1N[C@@H](c1ccccc1)[C@@H]1CCCO[C@H]21,79,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(C)(C)C)ccc1N[C@H]2c1ccccc1,79,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(Br)ccc1N[C@H]2c1ccccc1,79,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(C)(C)C)cc(F)c1N[C@H]2c1ccccc1,79,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
Oc1ccc([C@@H]2Nc3ccc(C(F)(F)F)cc3[C@H]3OCCC[C@H]32)cc1,80,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,C[NH2+]CCS(=O)(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1
C[NH2+]CCS(=O)(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(C)(C)C)ccc1N[C@H]2c1ccc(O)cc1,80,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,C[NH2+]CCS(=O)(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1
C[NH2+]CCS(=O)(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccc(O)cc1,80,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,C[NH2+]CCS(=O)(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1
CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccccc1)N2,80,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,C[NH2+]CCS(=O)(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1
FC(F)(F)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccccc1)N2,80,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,C[NH2+]CCS(=O)(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1
C[NH2+]CCS(=O)(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(C)(C)C)ccc1N[C@H]2c1ccccc1,80,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,C[NH2+]CCS(=O)(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1
Oc1ccc([C@@H]2Nc3ccc(C(F)(F)F)cc3[C@H]3OCCC[C@H]32)cc1,81,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,CC1=CC=C(C(=O)N(CC[NH3+])C[C@H]2CC[C@@H]3[C@H](O2)C2=CC(C(F)(F)F)=CC=C2N[C@H]3C2=CC=CC=C2)C=C1
Cc1ccc(C(=O)N(CC[NH3+])C[C@H]2CC[C@@H]3[C@H](O2)c2cc(C(C)(C)C)ccc2N[C@H]3c2ccc(O)cc2)cc1,81,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,CC1=CC=C(C(=O)N(CC[NH3+])C[C@H]2CC[C@@H]3[C@H](O2)C2=CC(C(F)(F)F)=CC=C2N[C@H]3C2=CC=CC=C2)C=C1
Cc1ccc(C(=O)N(CC[NH3+])C[C@H]2CC[C@@H]3[C@H](O2)c2cc(C(F)(F)F)ccc2N[C@H]3c2ccc(O)cc2)cc1,81,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,CC1=CC=C(C(=O)N(CC[NH3+])C[C@H]2CC[C@@H]3[C@H](O2)C2=CC(C(F)(F)F)=CC=C2N[C@H]3C2=CC=CC=C2)C=C1
CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccccc1)N2,81,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,CC1=CC=C(C(=O)N(CC[NH3+])C[C@H]2CC[C@@H]3[C@H](O2)C2=CC(C(F)(F)F)=CC=C2N[C@H]3C2=CC=CC=C2)C=C1
FC(F)(F)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccccc1)N2,81,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,CC1=CC=C(C(=O)N(CC[NH3+])C[C@H]2CC[C@@H]3[C@H](O2)C2=CC(C(F)(F)F)=CC=C2N[C@H]3C2=CC=CC=C2)C=C1
Cc1ccc(C(=O)N(CC[NH3+])C[C@H]2CC[C@@H]3[C@H](O2)c2cc(C(C)(C)C)ccc2N[C@H]3c2ccccc2)cc1,81,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1,CC1=CC=C(C(=O)N(CC[NH3+])C[C@H]2CC[C@@H]3[C@H](O2)C2=CC(C(F)(F)F)=CC=C2N[C@H]3C2=CC=CC=C2)C=C1
C[NH+](C)CCS(=O)(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccc(F)cc1,82,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=C(F)C=C1,C[NH+](C)CCS(=O)(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Cl)=CC(F)=C1N[C@H]2C1=CC=CC=C1
C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1,82,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=C(F)C=C1,C[NH+](C)CCS(=O)(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Cl)=CC(F)=C1N[C@H]2C1=CC=CC=C1
C[NH+](C)CCS(=O)(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1,82,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=C(F)C=C1,C[NH+](C)CCS(=O)(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Cl)=CC(F)=C1N[C@H]2C1=CC=CC=C1
C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)cc(F)c1N[C@H]2c1ccc(F)cc1,82,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=C(F)C=C1,C[NH+](C)CCS(=O)(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Cl)=CC(F)=C1N[C@H]2C1=CC=CC=C1
C[NH+](C)CCS(=O)(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)cc(F)c1N[C@H]2c1ccc(F)cc1,82,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=C(F)C=C1,C[NH+](C)CCS(=O)(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Cl)=CC(F)=C1N[C@H]2C1=CC=CC=C1
C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)cc(F)c1N[C@H]2c1ccccc1,82,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=C(F)C=C1,C[NH+](C)CCS(=O)(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Cl)=CC(F)=C1N[C@H]2C1=CC=CC=C1
C[NH+](C)CCS(=O)(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)cc(F)c1N[C@H]2c1ccccc1,82,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=C(F)C=C1,C[NH+](C)CCS(=O)(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Cl)=CC(F)=C1N[C@H]2C1=CC=CC=C1
C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(Cl)ccc1N[C@H]2c1ccc(F)cc1,82,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=C(F)C=C1,C[NH+](C)CCS(=O)(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Cl)=CC(F)=C1N[C@H]2C1=CC=CC=C1
C[NH+](C)CCS(=O)(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(Cl)ccc1N[C@H]2c1ccc(F)cc1,82,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=C(F)C=C1,C[NH+](C)CCS(=O)(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Cl)=CC(F)=C1N[C@H]2C1=CC=CC=C1
